id,user_id,date,time_of_day,age,device_type,subscription_tier,experience_level,is_weekend,time_spent_minutes,tasks_attempted,tasks_completed,avg_time_per_task_seconds,focus_score,interruption_count,battery_level,network_quality,screen_brightness,notification_count,goal_completed,completion_rate
1,1,2024-09-01,Morning,50,iOS,Premium,Advanced,1,7.2,3,1,156.0,36.0,0.0,75.0,4,57,0,0,0.3333333333333333
2,1,2024-09-02,Morning,50,iOS,Premium,Advanced,0,16.7,2,2,300.0,78.0,0.0,39.0,3,20,1,1,1.0
3,1,2024-09-03,Morning,50,iOS,Premium,Advanced,0,6.8,3,2,85.0,55.0,0.0,41.0,3,57,2,1,0.6666666666666666
4,1,2024-09-04,Afternoon,50,iOS,Premium,Advanced,0,7.9,4,1,122.0,100.0,4.0,71.0,5,77,2,1,0.25
5,1,2024-09-05,Afternoon,50,iOS,Premium,Advanced,0,16.6,4,2,234.0,75.0,1.0,66.0,2,61,1,1,0.5
6,1,2024-09-07,Afternoon,50,iOS,Premium,Advanced,1,24.0,2,2,300.0,49.0,0.0,58.0,2,52,1,0,1.0
7,1,2024-09-08,Evening,50,iOS,Premium,Advanced,1,28.9,4,0,0.0,78.0,1.0,38.0,4,85,0,1,0.0
8,1,2024-09-09,Evening,50,iOS,Premium,Advanced,0,18.0,3,2,300.0,82.0,2.0,28.0,3,65,1,1,0.6666666666666666
9,1,2024-09-09,Morning,50,iOS,Premium,Advanced,0,17.7,3,2,300.0,31.0,0.0,23.0,4,82,1,1,0.6666666666666666
10,1,2024-09-10,Evening,50,iOS,Premium,Advanced,0,16.2,5,3,231.0,72.0,0.0,26.0,3,37,2,1,0.6
11,1,2024-09-11,Afternoon,50,iOS,Premium,Advanced,0,28.5,8,7,175.0,78.0,2.0,78.0,3,61,2,1,0.875
12,1,2024-09-11,Morning,50,iOS,Premium,Advanced,0,14.0,5,5,153.0,77.0,2.0,68.0,4,55,1,0,1.0
13,1,2024-09-12,Evening,50,iOS,Premium,Advanced,0,6.3,5,4,71.0,71.0,2.0,64.0,4,87,2,1,0.8
14,1,2024-09-13,Evening,50,iOS,Premium,Advanced,0,17.7,2,2,300.0,87.0,1.0,25.0,5,51,5,1,1.0
15,1,2024-09-14,Morning,50,iOS,Premium,Advanced,1,6.7,2,1,195.0,35.0,0.0,88.0,2,48,0,1,0.5
16,1,2024-09-16,Evening,50,iOS,Premium,Advanced,0,5.0,1,1,300.0,54.0,0.0,25.0,4,69,0,0,1.0
17,1,2024-09-17,Afternoon,50,iOS,Premium,Advanced,0,13.4,2,2,300.0,60.0,1.0,43.0,4,70,0,1,1.0
18,1,2024-09-17,Morning,50,iOS,Premium,Advanced,0,34.3,4,3,300.0,74.0,3.0,52.0,5,100,1,1,0.75
19,1,2024-09-18,Afternoon,50,iOS,Premium,Advanced,0,14.5,3,3,297.0,82.0,1.0,50.0,4,90,6,1,1.0
20,1,2024-09-19,Evening,50,iOS,Premium,Advanced,0,24.0,2,2,300.0,47.0,0.0,66.0,3,51,3,1,1.0
21,1,2024-09-20,Afternoon,50,iOS,Premium,Advanced,0,5.0,3,1,122.0,91.0,1.0,22.0,3,85,2,1,0.3333333333333333
22,1,2024-09-21,Afternoon,50,iOS,Premium,Advanced,1,23.9,2,2,300.0,74.0,1.0,40.0,4,67,3,1,1.0
23,1,2024-09-21,Evening,50,iOS,Premium,Advanced,1,16.8,2,1,300.0,55.0,0.0,61.0,4,61,2,1,0.5
24,1,2024-09-21,Morning,50,iOS,Premium,Advanced,1,12.3,6,4,177.0,96.0,1.0,29.0,5,73,0,0,0.6666666666666666
25,1,2024-09-23,Evening,50,iOS,Premium,Advanced,0,22.9,4,2,300.0,74.0,1.0,69.0,4,74,1,1,0.5
26,1,2024-09-25,Evening,50,iOS,Premium,Advanced,0,10.9,3,1,232.0,69.0,1.0,67.0,4,59,0,0,0.3333333333333333
